country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,2.515374966,43.86466097,3.051760216,8.383239205,6.60E+00,1.64344169,2.319292523,1.387710127,7.650933086,30.0931899,1.99E+00,3.137881896,34.09265272,5.66E-02,4.76E+00
Australia,2.66506989,45.94414731,3.223112066,8.700531981,6.60E+00,1.736253238,2.36433558,1.463432157,8.011735879,32.58802558,1.99E+00,3.187357961,35.15240468,5.66E-02,4.76E+00
Brazil,2.324086856,41.20738308,2.832797737,7.977785674,6.60E+00,1.524842174,2.261734116,1.290948501,7.189880149,26.90515659,1.99E+00,3.074658757,32.73844547,5.66E-02,4.76E+00
Canada,2.243225857,40.08410289,2.740238274,7.806393018,6.60E+00,1.474707979,2.237403121,1.250045584,6.994984601,25.55751634,1.99E+00,3.047933174,32.16599718,5.66E-02,4.76E+00
Chile,2.730753305,46.85658816,3.298298147,8.83975429,6.60E+00,1.77697726,2.384099655,1.49665761,8.170049594,33.68271418,1.99E+00,3.20906716,35.61740461,5.66E-02,4.76E+00
China,2.549750919,44.34219436,3.091109467,8.456102341,6.60E+00,1.66475494,2.329636213,1.405098939,7.733787866,30.66610414,1.99E+00,3.149243583,34.33601423,5.66E-02,4.76E+00
Colombia,2.417618743,42.50668086,2.939861234,8.176035498,6.60E+00,1.582832378,2.28987777,1.33826089,7.415315757,28.46397158,1.99E+00,3.105572228,33.40059619,5.66E-02,4.76E+00
Finland,2.304640752,40.93724761,2.810538292,7.936567788,6.60E+00,1.512785499,2.255882803,1.281111838,7.143010098,26.58106521,1.99E+00,3.068231574,32.60077849,5.66E-02,4.76E+00
France,2.149562379,38.78297712,2.63302415,7.607864276,6.60E+00,1.416636188,2.209219871,1.202666631,6.769231827,23.99650826,1.99E+00,3.016976211,31.50291488,5.66E-02,4.76E+00
Germany,2.537778963,44.17588599,3.077405483,8.430726629,6.60E+00,1.657332272,2.326033863,1.399043017,7.704932409,30.46657791,1.99E+00,3.1452867,34.25125983,5.66E-02,4.76E+00
India,2.74645779,47.07474695,3.31627466,8.873041456,6.60E+00,1.786714113,2.388825119,1.504601604,8.207901393,33.94444724,1.99E+00,3.214257691,35.72858312,5.66E-02,4.76E+00
Indonesia,2.811657631,47.98047024,3.390907207,9.011238785,6.60E+00,1.827138318,2.408443688,1.537582444,8.365049573,35.03107654,1.99E+00,3.235807063,36.19015963,5.66E-02,4.76E+00
Iran,2.434552057,42.74190991,2.959244354,8.211927284,6.60E+00,1.593331111,2.294972988,1.346826477,7.456129345,28.74618446,1.99E+00,3.111168903,33.52047409,5.66E-02,4.76E+00
