Country ,Li mining,Co mining,Mn mining,Ni mining,Li2SO4,MnSO4,CoSO4,LiCO3,NiSO4,NaOH,Graphite,PP,PE,Cooper,Al
Argentina,10800,0,0,0,169000,100000000000,100000000000,114000,0,0,0,300000,0,0,0
Australia,37000,7400,3000000,189000,581000,0,0,391000,0,0,500,500000,600000,920000,1600000
Bahrain,0,0,0,0,100000000000,0,0,100000000000,0,0,0,0,0,0,1200000
Bolivia,0,0,0,0,100000000000,100000000000,0,100000000000,0,0,0,0,0,0,0
Brazil,1800,0,1200000,135000,28300,0,100000000000,19000,0,1900000,87000,1900000,3600000,400000,590000
Canada,1540,4440,0,216000,24200,0,0,16300,23300,0,15000,1400000,2500000,480000,2900000
Chile,18500,0,0,0,0,0,0,195000,0,0,0,0,300000,5700000,0
China,9240,2000,1400000,0,145000,3840000,5250,97700,190000,38200000,850000,23800000,27000000,1600000,37000000
Colombia,0,0,0,80000,100000000000,0,0,100000000000,0,0,0,200000,600000,0,0
Congo,0,10400,0,0,100000000000,0,0,100000000000,0,0,0,0,30000,1200000,0
Cuba,0,3500,0,54000,0,0,9190,0,0,0,0,100000,100000,0,0
Finland,0,1380,0,0,0,0,0,0,16700,0,0,100000,0,0,0
France ,0,0,0,0,0,0,100000000000,0,6670,0,0,2700000,0,0,0
Gabon,0,0,2200000,0,0,0,100000000000,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,2500000,250,4700000,5000000,0,0
Ghana ,0,0,600000,0,0,0,100000000000,0,0,0,0,0,0,0,0
India,0,0,2800000,0,0,0,0,0,0,2400000,8700,3400000,3300000,0,2800000
Indonesia ,0,1200,0,729000,0,0,0,0,6670,0.03,0,900000,4500000,490000,0
Iran,0,0,0,0,0,100000000000,100000000000,0,0,0,0,2200000,2000000,0,0
Japan,0,0,0,0,0,100000000000,0,0,45000,2600000,0,4200000,4000000,0,0
Kazakhstan,0,0,0,0,0,100000000000,0,0,0,0,0,0,0,590000,0
Madagascar,0,3300,0,0,0,100000000000,0,0,0,0,110000,0,0,0,0
Malaysia,0,0,290000,0,0,796000,0,0,0,0,0,800000,0,0,0
Mexico,1900,1400,820000,0,0,0,0,0,0,0,1900,2200000,0.03,720000,0
New Caledonia,0,2100,0,220000,100000000000,0,0,0,0,0,0,0,0,0,0
Norway ,0,0,0,0,0,100000000000,0,0,6670,0,10000,0,0,0,1300000
Papua New Guinea,0,3200,0,45000,0,100000000000,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,2200000,0
Philippines,0,5920,0,459000,0,0,0,0,0,0,0,0,240000,0,0
Portugal,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,8880,0,351000,0,0,0,0,25000,1700000,15000,3800000,3500000,760000,3800000
Saudi arabia,0,0,0,0,0,0,0,0,0,0,0,4000000,17500000,0,970000
South Africa,0,3100,6600000,54000,0,0,0,0,0,0,0,0,1000000,0,720000
South korea,0,0,0,0,0,0,0,0,30000,2500000,0,3700000,5000000,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,2900,1800000,2300000,0,0
Ukraine,0,0,810000,0,0,0,0,0,0,0,3000,0,0,0,480000
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600000
United States,3600,490,0,0,0,0,0,0,40000,12700000,0,9100000,45000000,1200000,1400000
Zambia,0,897,0,0,0,0,0,0,0,0,0,0,0,860000,0
Zimbabwe,1600,403,0,0,0,0,0,0,0,0,0,0,0,0,0
