,2019,unit
Afghanistan,6.23,MtCO2e
Albania,4.59,MtCO2e
Algeria,171.45,MtCO2e
Andorra,0.5,MtCO2e
Angola,60.8,MtCO2e
Antigua and Barbuda,0.52,MtCO2e
Argentina,197.8,MtCO2e
Armenia,6.21,MtCO2e
Australia,388.71,MtCO2e
Austria,57.64,MtCO2e
Azerbaijan,33.59,MtCO2e
Bahamas,2.84,MtCO2e
Bahrain,33.25,MtCO2e
Bangladesh,112.47,MtCO2e
Barbados,1.25,MtCO2e
Belarus,36.16,MtCO2e
Belgium,93.17,MtCO2e
Belize,5.88,MtCO2e
Benin,18.01,MtCO2e
Bhutan,-0.26,MtCO2e
Bolivia,89.72,MtCO2e
Bosnia and Herzegovina,19.33,MtCO2e
Botswana,48.58,MtCO2e
Brazil,818.6,MtCO2e
Brunei,7.32,MtCO2e
Bulgaria,5.34,MtCO2e
Burkina Faso,29.11,MtCO2e
Burundi,4.2,MtCO2e
Cambodia,45.18,MtCO2e
Cameroon,43.19,MtCO2e
Canada,615.48,MtCO2e
Cape Verde,0.58,MtCO2e
Central African Republic,14.22,MtCO2e
Chad,25.58,MtCO2e
Chile,33.51,MtCO2e
China,10057.12,MtCO2e
Colombia,164.01,MtCO2e
Comoros,0.38,MtCO2e
Cook Islands,0.09,MtCO2e
Costa Rica,0.94,MtCO2e
Croatia,12.18,MtCO2e
Cuba,22.86,MtCO2e
Cyprus,6.94,MtCO2e
Czech Republic,90.47,MtCO2e
Ivory Coast ,37.48,MtCO2e
Congo,604.58,MtCO2e
Denmark,30.55,MtCO2e
Djibouti,0.42,MtCO2e
Dominica,0.15,MtCO2e
Dominican Republic,25.68,MtCO2e
Ecuador,65.44,MtCO2e
Egypt,249.55,MtCO2e
El Salvador,8.88,MtCO2e
Equatorial Guinea,9.18,MtCO2e
Eritrea,1.32,MtCO2e
Estonia,12.13,MtCO2e
Eswatini,0.84,MtCO2e
Ethiopia,50.07,MtCO2e
Fiji,-0.91,MtCO2e
Finland,47.65,MtCO2e
France,238.53,MtCO2e
Gabon,11.71,MtCO2e
Gambia,1.11,MtCO2e
Georgia,10.11,MtCO2e
Germany,627.92,MtCO2e
Ghana,-4.88,MtCO2e
Greece,61.39,MtCO2e
Grenada,0.33,MtCO2e
Guatemala,22.58,MtCO2e
Guinea,16.18,MtCO2e
Guinea-Bissau,1.82,MtCO2e
Guyana,16.92,MtCO2e
Haiti,3.95,MtCO2e
Honduras,15.74,MtCO2e
Hungary,48.27,MtCO2e
Iceland,1.55,MtCO2e
India,2422.03,MtCO2e
Indonesia,1475.21,MtCO2e
Iran,630.07,MtCO2e
Iraq,175.05,MtCO2e
Ireland,32.96,MtCO2e
Israel,62.73,MtCO2e
Italy,304.42,MtCO2e
Jamaica,8.57,MtCO2e
Japan,1049.5,MtCO2e
Jordan,24.63,MtCO2e
Kazakhstan,209.12,MtCO2e
Kenya,14.66,MtCO2e
Kiribati,0.09,MtCO2e
Kuwait,92.65,MtCO2e
Kyrgyzstan,6.78,MtCO2e
Laos,27.38,MtCO2e
Latvia,4.79,MtCO2e
Lebanon,27.87,MtCO2e
Lesotho,0.77,MtCO2e
Liberia,14.62,MtCO2e
Libya,56.8,MtCO2e
Liechtenstein,0.15,MtCO2e
Lithuania,11.1,MtCO2e
Luxembourg,9.21,MtCO2e
Macedonia,8.3,MtCO2e
Madagascar,14.24,MtCO2e
Malawi,9.6,MtCO2e
Malaysia,334.48,MtCO2e
Maldives,2.11,MtCO2e
Mali,5.83,MtCO2e
Malta,1.65,MtCO2e
Marshall Islands,0.18,MtCO2e
Mauritania,2.87,MtCO2e
Mauritius,4.15,MtCO2e
Mexico,463.71,MtCO2e
Micronesia,0.14,MtCO2e
Moldova,8.97,MtCO2e
Mongolia,26.17,MtCO2e
Montenegro,2.63,MtCO2e
Morocco,69.54,MtCO2e
Mozambique,60.32,MtCO2e
Myanmar,139.37,MtCO2e
Namibia,14.78,MtCO2e
Nauru,0.06,MtCO2e
Nepal,16.39,MtCO2e
Netherlands,147.7,MtCO2e
New Zealand,23.39,MtCO2e
Nicaragua,24.75,MtCO2e
Niger,3.39,MtCO2e
Nigeria,161.27,MtCO2e
Niue,0,MtCO2e
North Korea,59.33,MtCO2e
Norway,17.02,MtCO2e
Oman,76.05,MtCO2e
Pakistan,197.57,MtCO2e
Palau,0.25,MtCO2e
Panama,17.74,MtCO2e
Papua New Guinea,48.58,MtCO2e
Paraguay,54.18,MtCO2e
Peru,146.54,MtCO2e
Philippines,147.88,MtCO2e
Poland,262.22,MtCO2e
Portugal,44.93,MtCO2e
Qatar,91.97,MtCO2e
Republic of Congo,17.73,MtCO2e
Romania,51.06,MtCO2e
Russia,1145.09,MtCO2e
Rwanda,2.99,MtCO2e
Saint Kitts and Nevis,0.25,MtCO2e
Saint Lucia,0.39,MtCO2e
Saint Vincent and the Grenadines,0.26,MtCO2e
Samoa,0.4,MtCO2e
Sao Tome and Principe,0.36,MtCO2e
Saudi Arabia,523.78,MtCO2e
Senegal,14.95,MtCO2e
Serbia,45.86,MtCO2e
Seychelles,0.61,MtCO2e
Sierra Leone,4.24,MtCO2e
Singapore,47.41,MtCO2e
Slovakia,30.01,MtCO2e
Slovenia,13.94,MtCO2e
Solomon Islands,45.77,MtCO2e
Somalia,18.05,MtCO2e
South Africa,446.19,MtCO2e
South Korea,564.99,MtCO2e
South Sudan,10.6,MtCO2e
Spain,226.09,MtCO2e
Sri Lanka,25.69,MtCO2e
Sudan,41.63,MtCO2e
Suriname,12.01,MtCO2e
Sweden,18.69,MtCO2e
Switzerland,35.14,MtCO2e
Syria,25.72,MtCO2e
Tajikistan,9.29,MtCO2e
Tanzania,76.55,MtCO2e
Thailand,280.13,MtCO2e
Timor-Leste,1.08,MtCO2e
Togo,3.18,MtCO2e
Tonga,0.16,MtCO2e
Trinidad and Tobago,17.31,MtCO2e
Tunisia,26.12,MtCO2e
Turkey,368.19,MtCO2e
Turkmenistan,72.87,MtCO2e
Tuvalu,0.01,MtCO2e
Uganda,21.68,MtCO2e
Ukraine,162.54,MtCO2e
United Arab Emirates,188.86,MtCO2e
United Kingdom,337.96,MtCO2e
United States,4585.99,MtCO2e
Uruguay,4.72,MtCO2e
