,Forest Sequestration (ton/yr)
Afghanistan,3.31E+05
Albania,5.08E+06
Algeria,4.23E+06
Angola,1.67E+08
Antigua and Barbuda,8.38E+04
Argentina,1.79E+08
Armenia,1.25E+06
Australia,2.87E+08
Austria,3.00E+07
Azerbaijan,7.33E+06
Bahamas,1.59E+06
Bahrain,0.00E+00
Bangladesh,1.52E+07
Barbados,1.81E+04
Belarus,6.55E+07
Belgium,5.66E+06
Belize,4.77E+06
Benin,5.98E+05
Bhutan,1.41E+06
Bolivia,1.73E+08
Bosnia and Herzegovina,2.76E+07
Botswana,6.87E+04
Brazil,1.81E+09
Brunei Darussalam,1.25E+06
Bulgaria,3.99E+07
Burkina Faso,7.10E+01
Burundi,2.04E+06
Cabo Verde,0.00E+00
Cambodia,2.50E+07
Cameroon,1.15E+08
Canada,1.36E+09
Central African Republic,1.36E+08
Chad,7.68E+05
Chile,2.75E+08
China,7.49E+08
Colombia,2.42E+08
Comoros,2.35E+05
Congo,8.23E+08
Costa Rica,1.72E+07
Croatia,2.07E+07
Cuba,2.42E+07
Cyprus,3.10E+05
Czech Republic,1.99E+07
Denmark,5.36E+06
Djibouti,0.00E+00
Dominican Republic,1.16E+07
Ecuador,6.41E+07
Egypt,2.71E+05
El Salvador,4.79E+06
Equatorial Guinea,9.33E+06
Eritrea,2.90E+01
Estonia,1.73E+07
Eswatini,1.51E+06
Ethiopia,3.89E+07
Fiji,7.58E+06
Finland,7.68E+07
France,1.32E+08
Gabon,8.15E+07
Gambia,8.04E+03
Georgia,1.97E+07
Germany,1.00E+08
Ghana,4.94E+07
Greece,2.24E+07
Grenada,1.42E+05
Guatemala,3.04E+07
Guinea,3.86E+07
Guinea-Bissau,7.42E+06
Guyana,4.12E+07
Haiti,4.34E+06
Honduras,3.33E+07
Hungary,1.20E+07
Iceland,0.00E+00
India,1.15E+08
Indonesia,6.44E+08
Iran,3.61E+06
Iraq,2.81E+04
Ireland,5.44E+06
Israel,8.76E+04
Italy,5.55E+07
Ivory Coast ,1.04E+08
Jamaica,3.28E+06
Japan,1.71E+08
Jordan,3.54E+03
Kazakhstan,2.67E+07
Kenya,1.37E+07
Kuwait,0.00E+00
Kyrgyzstan,6.25E+06
Lao People’s Democratic Republic,4.20E+07
Latvia,2.37E+07
Lebanon,2.12E+05
Lesotho,6.82E+03
Liberia,5.22E+07
Libya,2.02E+04
Lithuania,1.59E+07
Luxembourg,7.77E+05
Madagascar,7.06E+07
Malawi,4.89E+06
Malaysia,1.14E+08
Maldives,5.80E+03
Mali,4.57E+04
Malta,2.65E+02
Mauritania,1.00E+00
Mauritius,1.48E+05
Mexico,2.11E+08
Mongolia,2.14E+07
Morocco,1.76E+06
Mozambique,8.33E+07
Myanmar,1.15E+08
Namibia,9.45E+03
Nepal,1.12E+07
Netherlands,4.45E+06
New Zealand,7.20E+07
Nicaragua,3.23E+07
Niger,4.00E+00
Nigeria,7.07E+07
North Macedonia,6.56E+06
Norway,5.28E+07
Oman,1.00E+00
Pakistan,1.81E+06
Panama,2.23E+07
Papua New Guinea,1.02E+08
Paraguay,8.65E+07
Peru,1.73E+08
Philippines,9.62E+07
Poland,8.45E+07
Portugal,1.42E+07
Qatar,0.00E+00
Republic of Korea,3.73E+07
Republic of Moldova,2.16E+06
Romania,7.23E+07
Russian,2.42E+09
Rwanda,4.55E+06
Saint Kitts and Nevis,4.97E+04
Saint Lucia,2.23E+05
Saint Vincent and the Grenadines,1.35E+05
Sao Tome and Principe,1.07E+05
Saudi Arabia,9.00E+00
Senegal,2.63E+05
Serbia,2.35E+07
Sierra Leone,3.52E+07
Singapore,1.18E+05
Slovakia,2.12E+07
Slovenia,1.29E+07
Somalia,2.10E+05
South Africa,4.04E+07
South Korea,3.96E+07
South Sudan,3.43E+07
Spain,8.33E+07
Sri Lanka,1.43E+07
State of Palestine,1.89E+03
Sudan,1.71E+05
Suriname,2.87E+07
Sweden,1.37E+08
Switzerland,1.17E+07
Syria,3.29E+05
Tajikistan,5.67E+05
Thailand,6.62E+07
Timor-Leste,3.00E+06
Togo,3.43E+06
Trinidad and Tobago,1.48E+06
Tunisia,7.96E+05
Turkey,2.50E+07
Turkmenistan,2.50E+04
Uganda,4.73E+07
Ukraine,9.15E+07
United Arab Emirates,
United Kingdom,2.41E+07
United of Republic of Tanzania,7.38E+07
United States,1.53E+09
Uruguay,3.73E+07
Uzbekistan,6.34E+05
Venezuela,1.62E+08
Vietnam,1.11E+08
Yemen,2.27E+02
Zambia,5.01E+07
Zimbabwe,4.97E+06
