Country,CO2 emission 2019 (ton/yr),Forest Sequestration (ton/yr)
Afghanistan,6.23E+06,3.31E+05
Albania,4.59E+06,5.08E+06
Algeria,1.71E+08,4.23E+06
Andorra,5.00E+05,
Angola,6.08E+07,1.67E+08
Antigua and Barbuda,5.20E+05,8.38E+04
Argentina,1.98E+08,1.79E+08
Armenia,6.21E+06,1.25E+06
Australia,3.89E+08,2.87E+08
Austria,5.76E+07,3.00E+07
Azerbaijan,3.36E+07,7.33E+06
Bahamas,2.84E+06,1.59E+06
Bahrain,3.33E+07,
Bangladesh,1.12E+08,1.52E+07
Barbados,1.25E+06,1.81E+04
Belarus,3.62E+07,6.55E+07
Belgium,9.32E+07,5.66E+06
Belize,5.88E+06,4.77E+06
Benin,1.80E+07,5.98E+05
Bhutan,-2.60E+05,1.41E+06
Bolivia,8.97E+07,1.73E+08
Bosnia and Herzegovina,1.93E+07,2.76E+07
Botswana,4.86E+07,6.87E+04
Brazil,8.19E+08,1.81E+09
Brunei,7.32E+06,
Brunei Darussalam,0.00E+00,1.25E+06
Bulgaria,5.34E+06,3.99E+07
Burkina Faso,2.91E+07,7.10E+01
Burundi,4.20E+06,2.04E+06
Cabo Verde,,
Cambodia,4.52E+07,2.50E+07
Cameroon,4.32E+07,1.15E+08
Canada,6.15E+08,1.36E+09
Cape Verde,5.80E+05,
Central African Republic,1.42E+07,1.36E+08
Chad,2.56E+07,7.68E+05
Chile,3.35E+07,2.75E+08
China,1.01E+10,7.49E+08
Colombia,1.64E+08,2.42E+08
Comoros,3.80E+05,2.35E+05
Congo,6.05E+08,8.23E+08
Cook Islands,9.00E+04,
Costa Rica,9.40E+05,1.72E+07
Croatia,1.22E+07,2.07E+07
Cuba,2.29E+07,2.42E+07
Cyprus,6.94E+06,3.10E+05
Czech Republic,9.05E+07,1.99E+07
Denmark,3.06E+07,5.36E+06
Djibouti,4.20E+05,0.00E+00
Dominica,1.50E+05,
Dominican Republic,2.57E+07,1.16E+07
Ecuador,6.54E+07,6.41E+07
Egypt,2.50E+08,2.71E+05
El Salvador,8.88E+06,4.79E+06
Equatorial Guinea,9.18E+06,9.33E+06
Eritrea,1.32E+06,2.90E+01
Estonia,1.21E+07,1.73E+07
Eswatini,8.40E+05,1.51E+06
Ethiopia,5.01E+07,3.89E+07
Fiji,-9.10E+05,7.58E+06
Finland,4.77E+07,7.68E+07
France,2.39E+08,1.32E+08
Gabon,1.17E+07,8.15E+07
Gambia,1.11E+06,8.04E+03
Georgia,1.01E+07,1.97E+07
Germany,6.28E+08,1.00E+08
Ghana,3.44E+07,4.94E+07
Greece,6.14E+07,2.24E+07
Grenada,3.30E+05,1.42E+05
Guatemala,2.26E+07,3.04E+07
Guinea,1.62E+07,3.86E+07
Guinea-Bissau,1.82E+06,7.42E+06
Guyana,1.69E+07,4.12E+07
Haiti,3.95E+06,4.34E+06
Honduras,1.57E+07,3.33E+07
Hungary,4.83E+07,1.20E+07
Iceland,1.55E+06,0.00E+00
India,2.42E+09,1.15E+08
Indonesia,1.48E+09,6.44E+08
Iran,6.30E+08,3.61E+06
Iraq,1.75E+08,2.81E+04
Ireland,3.30E+07,5.44E+06
Israel,6.27E+07,8.76E+04
Italy,3.04E+08,5.55E+07
Ivory Coast ,3.75E+07,1.04E+08
Jamaica,8.57E+06,3.28E+06
Japan,1.05E+09,1.71E+08
Jordan,2.46E+07,3.54E+03
Kazakhstan,2.09E+08,2.67E+07
Kenya,1.47E+07,1.37E+07
Kiribati,9.00E+04,
Kuwait,9.27E+07,0.00E+00
Kyrgyzstan,6.78E+06,6.25E+06
Lao ,,4.20E+07
Laos,2.74E+07,
Latvia,4.79E+06,2.37E+07
Lebanon,2.79E+07,2.12E+05
Lesotho,7.70E+05,6.82E+03
Liberia,1.46E+07,5.22E+07
Libya,5.68E+07,2.02E+04
Liechtenstein,1.50E+05,
Lithuania,1.11E+07,1.59E+07
Luxembourg,9.21E+06,7.77E+05
Macedonia,8.30E+06,
Madagascar,1.42E+07,7.06E+07
