country,D,Dsoc ton/yr
Argentina,491000000,15500000
Australia,755000000,29700000
Brazil,2710000000,65800000
Canada,1130000000,11500000
Chile,154000000,8610000
China,12600000000,581000000
Colombia,316000000,18300000
Finland,94900000,2400000
France,452000000,14800000
Germany,831000000,39300000
India,3420000000,670000000
Indonesia,2030000000,88500000
Iran,830000000,34300000
Japan,1200000000,60400000
Kazakhstan,275000000,11900000
Malaysia,548000000,7100000
Mexico,764000000,60300000
Norway,58000000,2960000
Peru,210000000,11900000
Philippines,270000000,47000000
Portugal,83300000,5140000
Russia,3.20E+12,7.07E+10
Saudi arabia,6.38E+11,1.46E+10
South Africa,569000000,41600000
South korea,7.23E+11,3.31E+10
Turkey,512000000,27400000
Ukraine,295000000,16400000
United Arab Emirates,263000000,4590000
United States,6840000000,128000000
