country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,electronics,PET,noncell,battery
Argentina,10800,0,0,0,0,0,300000,0,0,0,0,0,1.00E+15,0,0
Australia,37000,7400,3000000,189000,0,500,500000,600000,920000,1600000,0,0,1.00E+15,1.00E+15,0
Brazil,1800,0,1200000,135000,0,87000,1900000,3600000,400000,590000,0,0,1.00E+15,1.00E+15,0
Canada,1540,4440,0,216000,0,15000,1400000,2500000,480000,2900000,0,0,1.00E+15,1.00E+15,0
Chile,18500,0,0,0,0,0,0,300000,5700000,0,0,0,1.00E+15,1.00E+15,0
China,9240,2000,1400000,0,1.00E+11,850000,23800000,27000000,1600000,37000000,1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15
Colombia,0,0,0,80000,0,0,200000,600000,0,0,0,0,1.00E+15,0,0
Finland,0,1380,0,0,0,0,100000,0,0,0,0,0,0,1.00E+15,0
France,0,0,0,0,1.00E+11,0,2700000,0,0,0,0,0,0,1.00E+15,0
Germany,0,0,0,0,1.00E+11,250,4700000,5000000,0,0,1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15
India,0,0,2800000,0,0,8700,3400000,3300000,0,2800000,0,0,1.00E+15,1.00E+15,0
Indonesia,0,1200,0,729000,0,0,900000,4500000,490000,0,0,0,1.00E+15,1.00E+15,0
Iran,0,0,0,0,0,0,2200000,2000000,0,0,0,0,1.00E+15,1.00E+15,0
Japan,0,0,0,0,1.00E+11,0,4200000,4000000,0,0,1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15
Kazakhstan,0,0,0,0,0,0,0,0,590000,0,0,0,0,0,0
Malaysia,0,0,290000,0,0,0,800000,0,0,0,0,0,1.00E+15,1.00E+15,0
Mexico,1900,1400,820000,0,0,1900,2200000,0,720000,0,0,0,1.00E+15,1.00E+15,0
Norway,0,0,0,0,0,10000,0,0,0,1300000,0,0,0,1.00E+15,0
Peru,0,0,0,0,0,0,0,0,2200000,0,0,0,0,0,0
Philippines,0,5920,0,459000,0,0,0,240000,0,0,0,0,1.00E+15,1.00E+15,0
Portugal,400,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+15,0
Russia,0,8880,0,351000,0,15000,3800000,3500000,760000,3800000,0,0,1.00E+15,1.00E+15,0
Saudi arabia,0,0,0,0,0,0,4000000,17500000,0,970000,0,0,1.00E+15,1.00E+15,0
South Africa,0,3100,6600000,54000,0,0,0,1000000,0,720000,0,0,1.00E+15,1.00E+15,0
South korea,0,0,0,0,1.00E+11,0,3700000,5000000,0,0,1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15
Turkey,0,0,0,0,0,2900,1800000,2300000,0,0,0,0,1.00E+15,1.00E+15,0
Ukraine,0,0,810000,0,0,3000,0,0,0,480000,0,0,0,1.00E+15,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,2600000,0,0,0,1.00E+15,0
United States,3600,490,0,0,1.00E+11,0,9100000,45000000,1200000,1400000,1.00E+15,1.00E+15,0,1.00E+15,1.00E+15
