country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,2.311628767,43.53094758,3.044135464,8.332320453,7.308562664,1.619471791,2.301754595,2.363148616,7.5930319,29.69282175,1.727964711,3.129942038,33.92258503,0.1916,6.684052892
Australia,2.396113394,45.57417809,3.219422066,8.644081232,8.074241006,1.707503995,2.34242138,2.41359207,7.947544099,32.14415999,1.887346884,3.178555489,34.96386023,0.1916,7.381882254
Brazil,2.20366983,40.91999929,2.82014495,7.933936,6.330138279,1.506979573,2.24978842,2.298689296,7.140017415,26.56037176,1.52429772,3.067821194,32.59198837,0.1916,5.792329533
Canada,2.158033604,39.81630347,2.725460044,7.765531571,5.916540313,1.459427045,2.227821363,2.271441157,6.948519868,25.2362276,1.438203941,3.041561571,32.02952071,0.1916,5.415381683
Chile,2.433183715,46.47071056,3.296334645,8.780876204,8.410206767,1.746130928,2.360265228,2.435725742,8.103097618,33.21976273,1.957280889,3.199886188,35.42075289,0.1916,7.688077113
China,2.331029822,44.00015517,3.084388291,8.40391322,7.484393091,1.639687512,2.311093318,2.374732454,7.674442106,30.25574723,1.764565244,3.141105634,34.16170354,0.1916,6.844302475
Colombia,2.256457236,42.19664383,2.929666945,8.128729339,6.80854689,1.561983563,2.275197707,2.330207208,7.361522555,28.09200882,1.623882363,3.098195689,33.2425945,0.1916,6.228344968
Finland,2.192694864,40.65457365,2.797374362,7.893436748,6.230672914,1.495543759,2.244505606,2.292136445,7.093964545,26.24193093,1.503593196,3.061506068,32.45672162,0.1916,5.701678083
France,2.105171932,38.53786282,2.615783962,7.570464177,5.437458628,1.404345669,2.202376329,2.239878903,6.726703092,23.70243568,1.338479193,3.011144342,31.37799924,0.1916,4.978752817
Germany,2.324273105,43.83674639,3.070369623,8.378979934,7.423157431,1.632647075,2.307840964,2.370698204,7.646089746,30.05969975,1.751818544,3.13721774,34.07842683,0.1916,6.788493085
India,2.442046992,46.68506574,3.314723951,8.813583007,8.490534032,1.755366381,2.364531577,2.441017761,8.14028947,33.47693246,1.974001662,3.204986222,35.52999301,0.1916,7.761286346
Indonesia,2.478844394,47.57499777,3.391070286,8.949370868,8.82402635,1.793708936,2.382244055,2.462988481,8.294697775,34.54461641,2.0434208,3.226159881,35.98352194,0.1916,8.065226942
Iran,2.266014038,42.42777167,2.94949516,8.163995353,6.895159527,1.571941663,2.279797886,2.335913313,7.40162456,28.36930133,1.641911487,3.103694785,33.36038233,0.1916,6.307282607
Japan,2.431773181,46.4365973,3.293408105,8.775671125,8.397423196,1.744661165,2.359586265,2.434883551,8.097178773,33.17883581,1.954619884,3.199074551,35.40336803,0.1916,7.676426332
Kazakhstan,2.409544142,45.89899594,3.247287848,8.693642682,8.195962952,1.721498711,2.348886288,2.421611201,8.003901857,32.53385583,1.912684297,3.1862837,35.12939455,0.1916,7.492818065
Malaysia,2.400472801,45.67960879,3.228466854,8.660168089,8.113750009,1.712046456,2.344519786,2.416194952,7.965836929,32.27064905,1.895571004,3.181063943,35.01759003,0.1916,7.41789025
Mexico,2.34846031,44.4217053,3.120552634,8.4682343,7.642364399,1.65784992,2.319483506,2.38513972,7.747583467,30.7614963,1.797448257,3.151135342,34.37653475,0.1916,6.988275487
Norway,1.865206846,32.73439296,2.117910372,6.68495749,3.262671617,1.154304258,2.086868822,2.096602331,5.719767825,16.73980101,0.885779594,2.873065602,28.42042338,0.1916,2.996679996
Peru,2.331534862,44.01236939,3.085436135,8.405776892,7.488970233,1.640213759,2.31133642,2.375034,7.676561342,30.27040107,1.765518014,3.14139624,34.16792817,0.1916,6.848474023
Philippines,2.574694858,49.89310699,3.589938444,9.303073268,9.692712489,1.893584237,2.428381801,2.520218164,8.696903005,37.32573667,2.224244883,3.281313369,37.16488137,0.1916,8.85693628
Portugal,2.339276047,44.19958716,3.101497352,8.434343008,7.559128053,1.648280002,2.315062649,2.379656049,7.709044699,30.49501307,1.780121934,3.145850609,34.26333847,0.1916,6.912414955
Russia,2.199045593,40.80816376,2.810550697,7.916871879,6.288229135,1.50216116,2.247562538,2.295928291,7.12061331,26.4261986,1.515573991,3.065160353,32.53499452,0.1916,5.75413408
Saudi arabia,2.616757124,50.91036786,3.677208187,9.458289255,10.0739199,1.937412731,2.448628527,2.54533239,8.873403593,38.54618168,2.303596305,3.305516492,37.68329988,0.1916,9.204363797
South Africa,2.452597955,46.94023702,3.336614827,8.852517623,8.586156684,1.766360388,2.369610297,2.447317452,8.184563149,33.78307076,1.993906295,3.211057371,35.6600339,0.1916,7.848435598
South korea,2.467709321,47.30570001,3.367967514,8.908280801,8.723109952,1.782106292,2.376884173,2.456340034,8.247973071,34.22153005,2.022414231,3.219752629,35.84628188,0.1916,7.973253039
Turkey,2.321635069,43.77294643,3.064896292,8.369245191,7.399249094,1.629898266,2.306571142,2.369123105,7.635020088,29.98315661,1.746841829,3.135699783,34.04591297,0.1916,6.766703335
Ukraine,2.114042564,38.75239589,2.634188528,7.603198121,5.517852553,1.413588786,2.206646219,2.245175314,6.763925807,23.95981882,1.355213842,3.016248608,31.48733001,0.1916,5.052022803
United Arab Emirates,2.397801699,45.61500916,3.22292492,8.65031133,8.089542003,1.709263194,2.343234048,2.414600111,7.954628523,32.19314651,1.890531911,3.179526959,34.98466864,0.1916,7.395827385
United States,2.351705456,44.50018799,3.127285582,8.480209369,7.671774933,1.661231332,2.321045562,2.387077308,7.761200664,30.85565486,1.803570299,3.153002638,34.41653126,0.1916,7.015079868
