Country,S,D,Dsoc,EcoOvershoot,SocShortfall
Argentina,1.78648E+11,4.90667E+11,15472395515,1.746565216,-30.71241596
Australia,3.12386E+11,7.55015E+11,29676435438,1.416928862,-24.44157361
Belgium,5743376004,1.11355E+11,3571146226,18.38846791,-30.18193832
Brazil,1.81281E+12,2.70703E+12,65757525530,0.493275238,-40.16686194
Canada,1.39666E+12,1.13066E+12,11529072863,-0.190450567,-97.07058551
Chile,2.75404E+11,1.5376E+11,8606020057,-0.441693705,-16.86655354
China,8.3913E+11,1.25772E+13,5.81434E+11,13.98842915,-20.63141495
Congo,24220564000,49542529593,7131965767,1.045473821,-5.946546186
Cote dIvoire,8.22535E+11,5.44689E+11,17078377616,-0.337791924,-30.89349092
Cuba,1.04342E+11,1.03024E+11,3059384891,-0.012628013,-32.67480578
Gabon,81563338084,21605417000,782613346.3,-0.73510872,-26.60675767
Germany,1.04987E+11,8.30796E+11,39294298276,6.913314863,-20.14290929
Ghana,49760826655,78278988000,3353374054,0.573104654,-22.34335113
Hungary,12763960241,65025913000,2772485325,4.094493541,-22.45401522
India,1.18073E+11,3.42255E+12,6.70092E+11,27.98669311,-4.107572863
Indonesia,6.44172E+11,2.02636E+12,88465405449,2.14567555,-21.90562429
Japan,1.75595E+11,1.20414E+12,60415040805,5.857450678,-18.93106802
Korea,37793219317,7.23431E+11,33100464877,18.1418279,-20.85562356
Madagascar,70559636000,1.31712E+11,23374289043,0.866675762,-4.634907742
Malaysia,1.14448E+11,5.48113E+11,7102705112,3.789195943,-76.16957481
Morocco,2361609701,94894221000,15730050782,39.18200847,-5.032670988
Mozambique,83346132000,97880552289,16591619768,0.174386261,-4.899397024
Netherlands,4544031141,1.79311E+11,9434732002,38.46069107,-18.00537387
North Korea,42149418732,45867274000,5436501751,0.088206561,-7.436909634
Norway,53808611112,58022909466,2957025882,0.078320147,-18.62204992
Papua New Guinea,1.02262E+11,80449409996,2149660321,-0.2132982,-36.42424289
Philippines,97419339941,2.69989E+11,47039982617,1.77140764,-4.739557882
Poland,87535749810,4.11448E+11,23126090129,3.70034604,-16.79152086
Portugal,15228377982,83293726000,5142810204,4.46963873,-15.1961501
Russia,2.43969E+12,3.20226E+12,70730742723,0.312565338,-44.27390404
South Africa,40352414000,5.69406E+11,41614589887,13.11082686,-12.68284366
Sri Lanka,14303924000,56082964653,7531030678,2.920809748,-6.446917567
Ukraine,99707709517,2.95036E+11,16390409957,1.959011028,-17.0005389
United States,1.56261E+12,6.83802E+12,1.28174E+11,3.376026306,-52.34959654
Vietnam,1.14058E+11,4.80458E+11,40439885195,3.212407256,-10.88078877
Zimbabwe,5316134491,35541789000,14568674288,5.685645192,-1.439603515
