country,D,Dsoc ton/yr
Argentina,4.91E+08,1.55E+07
Australia,7.55E+08,2.97E+07
Brazil,2.71E+09,6.58E+07
Canada,1.13E+09,1.15E+07
Chile,1.54E+08,8.61E+06
China,1.26E+10,5.81E+08
Colombia,1.64E+08,1.83E+07
Congo,4.95E+07,1.71E+07
Finland,4.77E+07,2.40E+06
France,2.39E+08,1.48E+07
Germany,8.31E+08,3.93E+07
India,3.42E+09,6.70E+08
Indonesia,2.03E+09,8.85E+07
Iran,6.30E+08,3.43E+07
Japan,1.20E+09,6.04E+07
Kazakhstan,2.09E+08,1.19E+07
Malaysia,5.48E+08,7.10E+06
Mexico,4.64E+08,6.03E+07
Norway,5.80E+07,2.96E+06
Peru,1.47E+08,1.19E+07
Philippines,2.70E+08,4.70E+07
Portugal,8.33E+07,5.14E+06
Russia,3.20E+09,7.07E+07
Saudi arabia,5.24E+08,1.46E+07
South Africa,4.46E+08,4.16E+07
South korea,7.23E+08,3.31E+07
Turkey,3.68E+08,2.74E+07
Ukraine,2.95E+08,1.64E+07
United Arab Emirates,1.89E+08,4.59E+06
United States,6.84E+09,1.28E+08
