country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,2.31,43.53,3.04,8.33,7.31,1.62,2.3,2.36,7.59,29.69,1.73,3.13,33.92,0.19,6.68
Australia,2.4,45.57,3.22,8.64,8.07,1.71,2.34,2.41,7.95,32.14,1.89,3.18,34.96,0.19,7.38
Brazil,2.2,40.92,2.82,7.93,6.33,1.51,2.25,2.3,7.14,26.56,1.52,3.07,32.59,0.19,5.79
Canada,2.16,39.82,2.73,7.77,5.92,1.46,2.23,2.27,6.95,25.24,1.44,3.04,32.03,0.19,5.42
Chile,2.43,46.47,3.3,8.78,8.41,1.75,2.36,2.44,8.1,33.22,1.96,3.2,35.42,0.19,7.69
China,2.33,44,3.08,8.4,7.48,1.64,2.31,2.37,7.67,30.26,1.76,3.14,34.16,0.19,6.84
Colombia,2.26,42.2,2.93,8.13,6.81,1.56,2.28,2.33,7.36,28.09,1.62,3.1,33.24,0.19,6.23
Congo,1.56,25.44,1.49,5.57,0.53,0.84,1.94,1.92,4.45,7.98,0.32,2.7,24.7,0.38,0.5
Finland,2.19,40.65,2.8,7.89,6.23,1.5,2.24,2.29,7.09,26.24,1.5,3.06,32.46,0.19,5.7
France,2.11,38.54,2.62,7.57,5.44,1.4,2.2,2.24,6.73,23.7,1.34,3.01,31.38,0.19,4.98
Germany,2.32,43.84,3.07,8.38,7.42,1.63,2.31,2.37,7.65,30.06,1.75,3.14,34.08,0.19,6.79
India,2.44,46.69,3.31,8.81,8.49,1.76,2.36,2.44,8.14,33.48,1.97,3.2,35.53,0.19,7.76
Indonesia,2.48,47.57,3.39,8.95,8.82,1.79,2.38,2.46,8.29,34.54,2.04,3.23,35.98,0.19,8.07
Iran,2.27,42.43,2.95,8.16,6.9,1.57,2.28,2.34,7.4,28.37,1.64,3.1,33.36,0.19,6.31
Japan,2.43,46.44,3.29,8.78,8.4,1.74,2.36,2.43,8.1,33.18,1.95,3.2,35.4,0.19,7.68
Kazakhstan,2.41,45.9,3.25,8.69,8.2,1.72,2.35,2.42,8,32.53,1.91,3.19,35.13,0.19,7.49
Malaysia,2.4,45.68,3.23,8.66,8.11,1.71,2.34,2.42,7.97,32.27,1.9,3.18,35.02,0.19,7.42
Mexico,2.35,44.42,3.12,8.47,7.64,1.66,2.32,2.39,7.75,30.76,1.8,3.15,34.38,0.19,6.99
Mozambique,2.33,44,3.08,8.4,7.48,1.64,2.31,2.37,7.67,30.26,1.76,3.14,34.16,0.19,6.84
Norway,1.87,32.73,2.12,6.68,3.26,1.15,2.09,2.1,5.72,16.74,0.89,2.87,28.42,0.19,3
Peru,2.33,44.01,3.09,8.41,7.49,1.64,2.31,2.38,7.68,30.27,1.77,3.14,34.17,0.19,6.85
Philippines,2.57,49.89,3.59,9.3,9.69,1.89,2.43,2.52,8.7,37.33,2.22,3.28,37.16,0.19,8.86
Portugal,2.34,44.2,3.1,8.43,7.56,1.65,2.32,2.38,7.71,30.5,1.78,3.15,34.26,0.19,6.91
Russia,2.2,40.81,2.81,7.92,6.29,1.5,2.25,2.3,7.12,26.43,1.52,3.07,32.53,0.19,5.75
Saudi arabia,2.62,50.91,3.68,9.46,10.07,1.94,2.45,2.55,8.87,38.55,2.3,3.31,37.68,0.19,9.2
South Africa,2.45,46.94,3.34,8.85,8.59,1.77,2.37,2.45,8.18,33.78,1.99,3.21,35.66,0.19,7.85
South korea,2.47,47.31,3.37,8.91,8.72,1.78,2.38,2.46,8.25,34.22,2.02,3.22,35.85,0.19,7.97
Turkey,2.32,43.77,3.06,8.37,7.4,1.63,2.31,2.37,7.64,29.98,1.75,3.14,34.05,0.19,6.77
Ukraine,2.11,38.75,2.63,7.6,5.52,1.41,2.21,2.25,6.76,23.96,1.36,3.02,31.49,0.19,5.05
United Arab Emirates,2.4,45.62,3.22,8.65,8.09,1.71,2.34,2.41,7.95,32.19,1.89,3.18,34.98,0.19,7.4
United States,2.35,44.5,3.13,8.48,7.67,1.66,2.32,2.39,7.76,30.86,1.8,3.15,34.42,0.19,7.02
