country,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
Argentina,1.094017094,0.547008547,1.025641026,0.615384615,0.991452991,1.076923077,0.615384615,0.991452991,0.547008547,0.974358974,1.094017094,0.974358974,1.008547009,0.615384615,0.615384615,1.008547009,1.094017094,1.025641026,0.615384615,1.076923077,1.025641026,0.547008547,1.008547009,1.008547009,0.974358974,1.008547009,0.974358974,0.547008547,1.094017094,0.991452991,1.076923077,1.025641026,0.991452991,1.094017094,0.991452991,1.076923077,0.974358974,1.094017094,1.094017094,0.547008547,1.025641026,0.547008547,1.025641026,1.025641026,1.076923077,0.991452991,1.076923077,1.094017094,1.008547009,0.547008547
Australia,1.468189233,0.388254486,0.694942904,1.305057096,1.807504078,0.4045677,1.859706362,0.456769984,1.807504078,0.694942904,0.4045677,1.468189233,0.388254486,0.388254486,1.859706362,1.305057096,1.859706362,1.859706362,0.694942904,0.388254486,1.305057096,0.388254486,1.305057096,1.468189233,1.468189233,1.859706362,0.694942904,1.859706362,1.468189233,1.859706362,1.859706362,1.468189233,0.4045677,0.694942904,0.4045677,0.456769984,0.694942904,1.305057096,0.694942904,0.388254486,0.4045677,1.859706362,1.468189233,1.859706362,1.305057096,0.456769984,1.468189233,1.305057096,1.305057096,0.388254486
Brazil,1.538461538,2.307692308,2.153846154,0.461538462,3.384615385,2.307692308,0.307692308,0.307692308,0.461538462,0.461538462,0.153846154,1.538461538,3.384615385,0.307692308,1.538461538,3.384615385,0.461538462,0.153846154,0.307692308,3.384615385,0.153846154,0.307692308,1.538461538,3.384615385,3.384615385,2.307692308,3.384615385,2.153846154,3.384615385,3.384615385,0.307692308,0.307692308,1.538461538,2.153846154,1.538461538,0.307692308,0.461538462,1.538461538,1.538461538,2.307692308,1.538461538,0.153846154,1.538461538,1.538461538,2.307692308,0.307692308,0.307692308,0.461538462,2.153846154,2.307692308
Canada,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0.91025641,0.692307692,0.91025641,0.91025641,1.230769231,0.692307692,0.628205128,1.230769231,0.692307692,0.692307692,1.08974359,0.871794872,1.230769231,1.384615385,1.666666667,0.871794872,0.692307692,0.871794872,1.08974359,0.91025641,0.91025641,0.91025641,1.08974359,0.692307692,0.871794872,0.91025641,1.08974359,0.628205128,0.91025641,1.666666667,1.666666667,0.91025641,0.91025641,1.666666667,1.384615385,0.692307692,1.384615385,0.628205128,0.628205128,1.230769231,0.91025641,1.08974359,0.692307692,1.666666667,1.230769231,1.666666667,0.871794872,1.230769231,0.871794872,1.08974359
China,2.014388489,2.014388489,1.021582734,0.287769784,1.021582734,1.913669065,0.978417266,0.330935252,2.014388489,1.913669065,0.287769784,0.287769784,1.553956835,0.330935252,2.014388489,0.287769784,0.287769784,0.330935252,0.330935252,0.978417266,0.287769784,1.021582734,1.021582734,0.287769784,0.330935252,1.913669065,0.330935252,1.021582734,1.553956835,1.553956835,2.014388489,1.021582734,0.978417266,1.913669065,0.330935252,0.330935252,2.014388489,0.287769784,1.913669065,0.330935252,0.287769784,0.330935252,2.014388489,0.330935252,0.330935252,2.014388489,1.553956835,1.913669065,0.978417266,1.553956835
Colombia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
