country,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
Argentina,0.946938776,0.946938776,0.963265306,0.52244898,0.946938776,1.044897959,1.044897959,0.963265306,0.52244898,0.52244898,0.52244898,0.52244898,1.028571429,0.963265306,1.044897959,0.52244898,0.52244898,0.52244898,0.963265306,0.587755102,0.946938776,0.930612245,0.946938776,0.587755102,0.979591837,0.587755102,0.930612245,1.044897959,1.028571429,0.52244898,0.587755102,0.52244898,0.587755102,0.52244898,0.946938776,1.028571429,1.044897959,1.044897959,1.028571429,0.930612245,1.044897959,0.979591837,1.044897959,0.52244898,0.930612245,1.044897959,1.044897959,0.587755102,1.044897959,0.930612245
Australia,1.300627496,1.264118654,0.282943525,0.91272105,1.264118654,0.91272105,0.271534512,1.300627496,0.319452367,0.271534512,1.300627496,1.026811181,0.271534512,1.026811181,0.91272105,1.026811181,0.486023959,0.271534512,0.319452367,0.319452367,1.300627496,0.319452367,0.282943525,1.026811181,0.282943525,0.319452367,1.300627496,0.271534512,0.319452367,0.91272105,1.264118654,0.91272105,0.271534512,0.319452367,0.271534512,0.271534512,1.300627496,0.486023959,0.91272105,0.271534512,1.026811181,0.319452367,0.282943525,0.319452367,0.282943525,0.319452367,0.91272105,0.486023959,1.264118654,0.282943525
Brazil,1.543859649,0.210526316,0.140350877,0.701754386,0.070175439,0.140350877,0.070175439,1.052631579,0.140350877,0.140350877,0.98245614,0.701754386,0.210526316,0.140350877,0.070175439,1.543859649,0.140350877,0.210526316,0.140350877,0.140350877,0.701754386,0.701754386,0.140350877,0.98245614,0.140350877,0.140350877,1.052631579,0.140350877,0.98245614,0.070175439,0.210526316,0.98245614,0.140350877,1.052631579,0.140350877,0.210526316,0.210526316,0.070175439,0.210526316,1.543859649,0.140350877,0.140350877,1.543859649,1.052631579,0.210526316,1.543859649,0.210526316,0.98245614,0.210526316,0.210526316
Canada,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Chile,1.25,0.519230769,1.25,1.25,1.25,0.923076923,0.653846154,0.519230769,1.25,0.923076923,0.653846154,0.653846154,0.817307692,0.923076923,0.519230769,0.471153846,1.25,1.25,0.682692308,0.519230769,0.682692308,0.653846154,0.923076923,0.653846154,0.817307692,0.519230769,0.519230769,0.653846154,0.653846154,0.682692308,1.038461538,1.038461538,0.519230769,0.471153846,0.653846154,0.519230769,1.25,1.25,0.682692308,0.923076923,1.038461538,0.817307692,1.038461538,1.038461538,0.817307692,0.682692308,0.471153846,1.038461538,1.038461538,0.653846154
China,0.677804296,0.219570406,0.190930788,1.031026253,1.336515513,1.031026253,0.219570406,1.269689737,0.190930788,0.190930788,1.269689737,0.190930788,1.336515513,0.649164678,1.031026253,1.336515513,0.219570406,0.219570406,0.219570406,0.219570406,0.649164678,1.269689737,1.031026253,0.677804296,1.269689737,0.677804296,1.269689737,0.219570406,0.677804296,0.677804296,0.219570406,0.649164678,0.219570406,0.649164678,0.219570406,0.649164678,1.336515513,0.649164678,0.190930788,0.649164678,1.031026253,1.031026253,0.219570406,0.649164678,0.649164678,1.269689737,0.190930788,0.649164678,0.677804296,0.190930788
Colombia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
