country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,2.31,43.53,3.04,8.33,7.31,1.62,2.3,2.36,7.59,29.69,1.73,3.13,33.92,0.19,6.68
Australia,2.4,45.57,3.22,8.64,8.07,1.71,2.34,2.41,7.95,32.14,1.89,3.18,34.96,0.19,7.38
Canada,2.16,39.82,2.73,7.77,5.92,1.46,2.23,2.27,6.95,25.24,1.44,3.04,32.03,0.19,5.42
China,2.33,44,3.08,8.4,7.48,1.64,2.31,2.37,7.67,30.26,1.76,3.14,34.16,0.19,6.84
Congo,1.56,25.44,1.49,5.57,0.53,0.84,1.94,1.92,4.45,7.98,0.32,2.7,24.7,0.38,0.5
Finland,2.19,40.65,2.8,7.89,6.23,1.5,2.24,2.29,7.09,26.24,1.5,3.06,32.46,0.19,5.7
Japan,2.43,46.44,3.29,8.78,8.4,1.74,2.36,2.43,8.1,33.18,1.95,3.2,35.4,0.19,7.68
Mozambique,2.33,44,3.08,8.4,7.48,1.64,2.31,2.37,7.67,30.26,1.76,3.14,34.16,0.19,6.84
Russia,2.2,40.81,2.81,7.92,6.29,1.5,2.25,2.3,7.12,26.43,1.52,3.07,32.53,0.19,5.75
South Africa,2.45,46.94,3.34,8.85,8.59,1.77,2.37,2.45,8.18,33.78,1.99,3.21,35.66,0.19,7.85
South korea,2.47,47.31,3.37,8.91,8.72,1.78,2.38,2.46,8.25,34.22,2.02,3.22,35.85,0.19,7.97
United States,2.35,44.5,3.13,8.48,7.67,1.66,2.32,2.39,7.76,30.86,1.8,3.15,34.42,0.19,7.02
