country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,6200,0,0,0,0,0,300000,0,0,0,0,1.00E+04,0,0,0
Australia,61000,7000,2900000,180000,0,500,500000,600000,920000,1600000,0,1.00E+04,0,1.00E+06,0
Canada,500,3100,0,180000,0,15000,1400000,2500000,480000,2900000,0,1.00E+04,0,1.00E+06,0
China,19000,2200,3000000,0,1.00E+11,850000,23800000,27000000,1600000,37000000,1.00E+06,1.00E+04,1.00E+04,1.00E+06,1.00E+06
Congo,0,145000,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,1084,0,42000,0,0,100000,0,0,0,0,0,0,1.00E+06,0
Japan,0,2000,0,0,1.00E+11,0,4200000,4000000,0,0,1.00E+06,1.00E+04,1.00E+04,1.00E+06,1.00E+06
Mozambique,0,0,0,0,0,47200,0,0,0,0,0,0.00E+00,0,0.00E+00,0
Russia,0,3500,0,270000,0,15000,3800000,3500000,760000,3800000,0,1.00E+04,0,1.00E+06,0
South Africa,0,0,6200000,54000,0,0,0,1000000,0,720000,0,1.00E+04,0,1.00E+06,0
South korea,0,0,1250,0,1.00E+11,0,3700000,5000000,0,0,1.00E+06,1.00E+04,1.00E+04,1.00E+06,1.00E+06
United States,900,0,0,14000,1.00E+11,0,9100000,45000000,1200000,1400000,1.00E+06,0,1.00E+04,1.00E+06,1.00E+06
