,Argentina,Australia,Bahrain,Bolivia,Brazil,Canada,Chile,China,Colombia,Congo,Cuba,Finland,France,Gabon,Germany,Ghana,India,Indonesia,Iran,Japan,Kazakhstan,Madagascar,Malaysia,Mexico,New Caledonia,Norway,Papua New Guinea,Peru,Philippines,Portugal,Russia,Saudi arabia,South Africa,South korea,Turkey,Ukraine,United Arab Emirates,United States,Zambia,Zimbabwe,Mozambique
Argentina,0,13071.62435,14240.80662,1987.604732,2981.302158,11339.69607,691.1783408,19110.94645,4406.708761,9714.220236,6635.325459,13455.68246,11238.51035,8740.778629,12043.89309,8214.845409,16230.85358,15844.55446,14508.4265,17835.92798,15817.0702,10642.29573,16391.07195,7023.441697,12160.12396,12857.46982,14567.7774,3281.298673,17422.92337,10117.77646,16503.85068,13107.36424,8236.039056,18867.47237,13115.22071,13283.59135,14074.22161,9046.12002,9325.460228,9270.324137,9660.274748
Australia,13071.62435,0,10193.85282,14909.59421,16026.49892,13845.23532,13164.99747,7322.659763,16280.89945,11975.55758,16412.23918,13376.36167,15209.03654,13273.93711,14488.43976,14990.65172,7993.868822,3059.997353,10610.22659,6806.89867,10528.62725,8989.804412,4785.801501,14473.74429,2752.088327,14033.85429,2343.750632,15254.44979,4352.004099,16190.47782,10419.39381,11389.43993,10452.59276,6837.931052,12513.08167,13016.39212,10239.97432,14654.08623,11012.93144,10599.85882,10073.41847
Bahrain,14240.80662,10193.85282,0,13798.28986,12340.36483,10319.76934,14790.39981,4871.981829,13550.9604,4603.390881,12874.75251,4738.877931,5239.569471,5500.361349,4750.781048,6247.663969,2412.614541,7416.63193,824.5027754,7885.939509,2735.037867,4975.34251,5519.076299,14341.16291,12522.50809,5366.837345,10189.70943,14368.77119,7178.558678,6037.965197,5331.296595,1289.799507,6796.20942,6885.986163,2433.599181,3394.457115,180.475482,12377.88508,5320.773638,5562.662846,5392.753247
Bolivia,1987.604732,14909.59421,13798.28986,0,1475.728632,9464.992316,1749.600903,17786.30355,2496.668453,9794.753213,4756.200918,11729.09494,9708.172488,8570.884375,10490.62351,7558.602989,16187.08931,17820.3342,13762.92592,16799.04298,14462.53924,11536.80144,18059.98593,5498.858156,13477.48717,11075.47454,15941.02568,1570.204673,19069.49816,8611.118682,14557.05444,12521.82308,9115.709933,17506.53435,12030.01935,11880.31557,13668.93765,7289.163855,9814.535002,9907.068829,10393.52495
Brazil,2981.302158,16026.49892,12340.36483,1475.728632,0,9241.800695,3018.641616,16499.92306,2705.770768,8538.678501,4762.041305,10485.25081,8341.542648,7251.76399,9138.359447,6122.172797,14744.2415,18287.15145,12287.25541,16843.00388,13067.59161,10644.30257,17254.3838,6017.50548,14930.07963,9876.808845,17399.13741,2434.300644,19508.63831,7228.701277,13563.84459,11058.13129,8322.492794,17088.90218,10565.90143,10478.62465,12216.61023,7382.93636,8749.234523,8921.52833,9446.279878
Canada,11339.69607,13845.23532,10319.76934,9464.992316,9241.800695,0,10812.69698,8944.219335,6969.510857,12408.82914,4714.109243,5682.748135,6522.216064,11641.70889,6415.520185,10122.68943,10738.93081,12455.67541,9497.369831,7604.430485,7892.21256,14913.39007,12272.59568,4675.63532,12034.10983,5192.610774,11507.09623,8058.759069,10693.06419,6727.659622,5891.431955,10030.77358,15035.50161,8064.06938,8419.447628,7218.669619,10437.06446,2423.609651,13743.10634,14236.19977,14539.81223
Chile,691.1783408,13164.99747,14790.39981,1749.600903,3018.641616,10812.69698,0,19518.26662,3972.318133,10326.84804,6145.575561,13461.22562,11360.14491,9299.740147,12156.68543,8650.174832,16884.84876,16092.65412,14980.54806,17170.42316,16067.55522,11333.1916,16921.46333,6395.677904,11957.43427,12818.20381,14413.67474,2782.810356,17463.47565,10246.34687,16266.36365,13607.72523,8924.443149,18194.17394,13454.25351,13484.12781,14630.33457,8472.51532,9990.000793,9947.567701,10344.67044
China,19110.94645,7322.659763,4871.981829,17786.30355,16499.92306,8944.219335,19518.26662,0,15670.51665,9399.591636,13554.11297,6062.858354,8158.575771,10372.34122,7361.705238,10943.75151,2917.357463,4362.107243,4626.480213,3084.018775,3459.482541,8592.865129,3381.095856,13466.19103,8552.003891,6711.195732,6097.524628,16889.00525,3043.903769,9272.883689,3337.861212,6018.383508,10967.51398,2054.273363,6097.427799,6039.250119,5037.824916,11323.51819,9819.941137,9896.283233,9527.342785
Colombia,4406.708761,16280.89945,13550.9604,2496.668453,2705.770768,6969.510857,3972.318133,15670.51665,0,10788.66337,2259.836002,10041.85323,8519.353048,9426.128695,9191.483737,7954.826499,15762.76102,18823.25385,13155.2306,14408.19962,13025.75714,13250.91799,18912.95184,3314.513855,13902.1915,9329.430395,15912.72878,1236.055851,17476.53461,7573.80655,12335.51014,12318.39047,11003.37756,15016.87107,11252.04819,10680.4468,13491.98627,4826.341634,11257.88552,11495.8723,12038.37675
Congo,9714.220236,11975.55758,4603.390881,9794.753213,8538.678501,12408.82914,10326.84804,9399.591636,10788.66337,0,11646.33078,7347.676649,5900.460622,1369.197607,6133.409445,3021.345892,6583.470379,10456.22427,5103.728004,12466.33246,7025.562363,3029.29227,8764.655454,13576.59531,14695.63386,7561.483742,13344.55394,10957.46293,11057.28357,5740.900099,9545.860331,3743.235836,2861.955049,11448.00746,4781.608256,5857.665883,4426.038043,13100.14709,1340.461968,1829.532721,2171.760494
