country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,6200,0,0,0,0,0,300000,0,0,0,0,1.00E+04,0,0,0
Australia,61000,7000,2900000,180000,0,500,500000,600000,920000,1600000,0,1.00E+04,0,1.00E+06,0
Brazil,2200,0,1000000,67000,0,87000,1900000,3600000,400000,590000,0,1.00E+04,0,1.00E+06,0
Canada,500,3100,0,180000,0,15000,1400000,2500000,480000,2900000,0,1.00E+04,0,1.00E+06,0
Chile,39000,0,0,0,0,0,0,300000,5700000,0,0,1.00E+04,0,1.00E+06,0
China,19000,2200,3000000,0,1.00E+11,850000,23800000,27000000,1600000,37000000,1.00E+06,1.00E+04,1.00E+04,1.00E+06,1.00E+06
Colombia,0,0,0,110000,0,0,200000,600000,0,0,0,1.00E+04,0,0,0
Congo,0,145000,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,1084,0,42000,0,0,100000,0,0,0,0,0,0,1.00E+06,0
France,0,0,0,0,0.00E+00,0,2700000,0,0,0,0,0,0,1.00E+06,0
Germany,0,0,0,0,1.00E+11,250,4700000,5000000,0,0,1.00E+06,1.00E+04,1.00E+04,1.00E+06,1.00E+06
India,0,0,950000,0,0,8700,3400000,3300000,0,2800000,0,1.00E+04,0,1.00E+06,0
Indonesia,0,9454,0,800000,0,0,900000,4500000,490000,0,0,1.00E+04,0,1.00E+06,0
Iran,0,0,130000,0,0,0,2200000,2000000,0,0,0,1.00E+04,0,1.00E+06,0
Japan,0,2000,0,0,1.00E+11,0,4200000,4000000,0,0,1.00E+06,1.00E+04,1.00E+04,1.00E+06,1.00E+06
Kazakhstan,0,0,0,0,0,0,0,0,590000,0,0,0,0,0,0
Malaysia,0,0,400000,0,0,0,800000,0,0,0,0,1.00E+04,0,1.00E+06,0
Mexico,0,0,240000,0,0,1900,2200000,0,720000,0,0,1.00E+04,0,1.00E+06,0
Mozambique,0,0,0,0,0,47200,0,0,0,0,0,0.00E+00,0,0.00E+00,0
Norway,0,0,0,0,0,10000,0,0,0,1300000,0,0,0,1.00E+06,0
Peru,0,0,10100,0,0,0,0,0,2200000,0,0,0,0,0,0
Philippines,0,5400,200,420000,0,0,0,240000,0,0,0,1.00E+04,0,1.00E+06,0
Portugal,600,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+06,0
Russia,0,3500,0,270000,0,15000,3800000,3500000,760000,3800000,0,1.00E+04,0,1.00E+06,0
Saudi arabia,0,0,0,0,0,0,4000000,17500000,0,970000,0,1.00E+04,0,1.00E+06,0
South Africa,0,0,6200000,54000,0,0,0,1000000,0,720000,0,1.00E+04,0,1.00E+06,0
South korea,0,0,1250,0,1.00E+11,0,3700000,5000000,0,0,1.00E+06,1.00E+04,1.00E+04,1.00E+06,1.00E+06
Turkey,0,2300,0,0,0,2900,1800000,2300000,0,0,0,1.00E+04,0,1.00E+06,0
Ukraine,0,0,390000,0,0,3000,0,0,0,480000,0,0,0,1.00E+06,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,2600000,0,0,0,1.00E+06,0
United States,900,0,0,14000,1.00E+11,0,9100000,45000000,1200000,1400000,1.00E+06,0,1.00E+04,1.00E+06,1.00E+06
