,Argentina,Australia,Brazil,Canada,Chile,China,Colombia,Congo,Finland,France,Germany,India,Indonesia,Iran,Japan,Kazakhstan,Malaysia,Mexico,Norway,Peru,Philippines,Portugal,Russia,Saudi arabia,South Africa,South korea,Turkey,Ukraine,United Arab Emirates,United States
Argentina,0,13071.62435,2981.302158,11339.69607,691.1783408,19110.94645,4406.708761,9714.220236,13455.68246,11238.51035,12043.89309,16230.85358,15844.55446,14508.4265,17835.92798,15817.0702,16391.07195,7023.441697,12857.46982,3281.298673,17422.92337,10117.77646,16503.85068,13107.36424,8236.039056,18867.47237,13115.22071,13283.59135,14074.22161,9046.12002
Australia,13071.62435,0,16026.49892,13845.23532,13164.99747,7322.659763,16280.89945,11975.55758,13376.36167,15209.03654,14488.43976,7993.868822,3059.997353,10610.22659,6806.89867,10528.62725,4785.801501,14473.74429,14033.85429,15254.44979,4352.004099,16190.47782,10419.39381,11389.43993,10452.59276,6837.931052,12513.08167,13016.39212,10239.97432,14654.08623
Brazil,2981.302158,16026.49892,0,9241.800695,3018.641616,16499.92306,2705.770768,8538.678501,10485.25081,8341.542648,9138.359447,14744.2415,18287.15145,12287.25541,16843.00388,13067.59161,17254.3838,6017.50548,9876.808845,2434.300644,19508.63831,7228.701277,13563.84459,11058.13129,8322.492794,17088.90218,10565.90143,10478.62465,12216.61023,7382.93636
Canada,11339.69607,13845.23532,9241.800695,0,10812.69698,8944.219335,6969.510857,12408.82914,5682.748135,6522.216064,6415.520185,10738.93081,12455.67541,9497.369831,7604.430485,7892.21256,12272.59568,4675.63532,5192.610774,8058.759069,10693.06419,6727.659622,5891.431955,10030.77358,15035.50161,8064.06938,8419.447628,7218.669619,10437.06446,2423.609651
Chile,691.1783408,13164.99747,3018.641616,10812.69698,0,19518.26662,3972.318133,10326.84804,13461.22562,11360.14491,12156.68543,16884.84876,16092.65412,14980.54806,17170.42316,16067.55522,16921.46333,6395.677904,12818.20381,2782.810356,17463.47565,10246.34687,16266.36365,13607.72523,8924.443149,18194.17394,13454.25351,13484.12781,14630.33457,8472.51532
China,19110.94645,7322.659763,16499.92306,8944.219335,19518.26662,0,15670.51665,9399.591636,6062.858354,8158.575771,7361.705238,2917.357463,4362.107243,4626.480213,3084.018775,3459.482541,3381.095856,13466.19103,6711.195732,16889.00525,3043.903769,9272.883689,3337.861212,6018.383508,10967.51398,2054.273363,6097.427799,6039.250119,5037.824916,11323.51819
Colombia,4406.708761,16280.89945,2705.770768,6969.510857,3972.318133,15670.51665,0,10788.66337,10041.85323,8519.353048,9191.483737,15762.76102,18823.25385,13155.2306,14408.19962,13025.75714,18912.95184,3314.513855,9329.430395,1236.055851,17476.53461,7573.80655,12335.51014,12318.39047,11003.37756,15016.87107,11252.04819,10680.4468,13491.98627,4826.341634
Congo,9714.220236,11975.55758,8538.678501,12408.82914,10326.84804,9399.591636,10788.66337,0,7347.676649,5900.460622,6133.409445,6583.470379,10456.22427,5103.728004,12466.33246,7025.562363,8764.655454,13576.59531,7561.483742,10957.46293,11057.28357,5740.900099,9545.860331,3743.235836,2861.955049,11448.00746,4781.608256,5857.665883,4426.038043,13100.14709
Finland,13455.68246,13376.36167,10485.25081,5682.748135,13461.22562,6062.858354,10041.85323,7347.676649,0,2380.098459,1629.300052,5977.682819,10349.35187,3947.39237,7481.040284,2996.108215,8871.427092,9682.110066,720.163567,11232.97464,9087.087518,3454.245138,3332.926584,4351.758808,10205.16914,6985.528442,2768.281556,1566.032784,4830.107051,7639.451447
France,11238.51035,15209.03654,8341.542648,6522.216064,11360.14491,8158.575771,8519.353048,5900.460622,2380.098459,0,806.1396036,7245.673394,12172.18055,4683.545739,9858.414594,4755.995037,10432.02392,9269.185661,2085.349546,9573.578971,11195.35315,1120.741182,5708.569092,4255.032193,8670.232492,9321.245072,2809.950487,2199.825802,5241.154171,7734.861746
