,Argentina,Australia,Brazil,Canada,Chile,China,Colombia,Congo,Finland,France,Germany,India,Indonesia,Iran,Japan,Kazakhstan,Malaysia,Mexico,Mozambique,Norway,Peru,Philippines,Portugal,Russia,Saudi arabia,South Africa,South korea,Turkey,Ukraine,United Arab Emirates,United States
Argentina,0.0,13071.624348826268,2981.3021583129976,11339.696072251716,691.1783407868081,19110.946452480843,4406.708761228184,9714.220235872663,13455.682456697736,11238.510346138024,12043.893087386627,16230.853575972136,15844.554456976477,14508.426496063516,17835.92798392059,15817.070203080464,16391.07195259658,7023.441697394049,9660.274748433076,12857.469824954405,3281.298673181739,17422.923368959277,10117.776458569735,16503.850678861803,13107.364243533722,8236.039055896617,18867.472373148994,13115.220712164393,13283.591349334103,14074.221613518059,9046.120020002556
Australia,13071.624348826268,0.0,16026.498918351057,13845.235324785412,13164.997468111753,7322.65976343805,16280.899452196325,11975.557580414976,13376.361670293547,15209.03653511567,14488.439757874829,7993.868821501465,3059.9973534647033,10610.226585102047,6806.898670013623,10528.627247636274,4785.801500724654,14473.744289802895,10073.418469991604,14033.854290713745,15254.449788964452,4352.004099060636,16190.477820420248,10419.393812158747,11389.439925152332,10452.59275576911,6837.9310517121985,12513.081665933862,13016.392120887185,10239.974319582287,14654.086230447941
Brazil,2981.3021583129976,16026.498918351057,0.0,9241.800695341657,3018.6416163651747,16499.92305967721,2705.770767915376,8538.678501211894,10485.250808744488,8341.542647918111,9138.359447126459,14744.241499641943,18287.151447739016,12287.255413303204,16843.00387725892,13067.59160678111,17254.3837991134,6017.505480043643,9446.279877832536,9876.80884501216,2434.300644217156,19508.638312597224,7228.701277023447,13563.844594601536,11058.131292580143,8322.492793628688,17088.90218290058,10565.901430873244,10478.624645728785,12216.610226995139,7382.936360365595
Canada,11339.696072251716,13845.235324785412,9241.800695341657,0.0,10812.696980809478,8944.219334950843,6969.510857041798,12408.829137302462,5682.748134836275,6522.216063511657,6415.520184780075,10738.930805440608,12455.675412687977,9497.369830725289,7604.430484893539,7892.212559500859,12272.595683072324,4675.635319909058,14539.812227580647,5192.610774014072,8058.759068637181,10693.064191492558,6727.659622405695,5891.431955398979,10030.773584623248,15035.501610445534,8064.06937966813,8419.447628107746,7218.669619337631,10437.064462311979,2423.6096509121558
Chile,691.1783407868081,13164.997468111753,3018.6416163651747,10812.696980809478,0.0,19518.26661766988,3972.31813291895,10326.848035703722,13461.225624968094,11360.144908564022,12156.685425533886,16884.848755343788,16092.654121956868,14980.548057228852,17170.423161313152,16067.555217259702,16921.463326727986,6395.677904418925,10344.670438678122,12818.20381126712,2782.8103558309076,17463.475653338424,10246.34687198189,16266.36364919216,13607.725231982735,8924.443148927287,18194.173943271857,13454.253506577084,13484.127814542207,14630.334568452436,8472.51531963119
China,19110.946452480843,7322.65976343805,16499.92305967721,8944.219334950843,19518.26661766988,0.0,15670.516647262644,9399.59163629909,6062.858353931162,8158.5757709092695,7361.705237952955,2917.357463304341,4362.107243299391,4626.480213241895,3084.018774537853,3459.4825409433283,3381.0958559136348,13466.191030363463,9527.34278514688,6711.195732159814,16889.005254890897,3043.9037693943405,9272.88368914085,3337.861212239698,6018.383508433671,10967.513979111105,2054.273363253239,6097.427798755419,6039.250119045203,5037.824916144629,11323.518191320525
Colombia,4406.708761228184,16280.899452196325,2705.770767915376,6969.510857041798,3972.31813291895,15670.516647262644,0.0,10788.663368914607,10041.853233858328,8519.353047800576,9191.483737160286,15762.761020649552,18823.253854872743,13155.230599834736,14408.19961967075,13025.757137448185,18912.95183664475,3314.513855232605,12038.37674558994,9329.43039466064,1236.0558513427893,17476.53461230141,7573.806550054774,12335.510140577295,12318.390466496143,11003.377560562152,15016.871073927325,11252.048189680361,10680.446796285198,13491.98626729558,4826.3416339251
Congo,9714.220235872663,11975.557580414976,8538.678501211894,12408.829137302462,10326.848035703722,9399.59163629909,10788.663368914607,0.0,7347.676648549973,5900.46062181168,6133.409445384219,6583.470379194582,10456.224270903544,5103.728003796619,12466.332460225109,7025.562362959217,8764.655453608395,13576.5953089238,2171.7604944500767,7561.483742153567,10957.462930625978,11057.283570582142,5740.900098559383,9545.860330808158,3743.235835751374,2861.955048612118,11448.007464424029,4781.6082557918035,5857.665882540324,4426.0380429728775,13100.147092630072
Finland,13455.682456697736,13376.361670293547,10485.250808744488,5682.748134836275,13461.225624968094,6062.858353931162,10041.853233858328,7347.676648549973,0.0,2380.098458830095,1629.3000515418526,5977.682819443233,10349.351874863582,3947.3923699272236,7481.040284003645,2996.108215205788,8871.42709150643,9682.110065874724,9184.783053457242,720.1635669986318,11232.974643713314,9087.087518061517,3454.2451380163216,3332.9265843034077,4351.7588082390375,10205.169136913943,6985.528442033843,2768.2815558671896,1566.0327844498584,4830.1070510917225,7639.451447455768
France,11238.510346138024,15209.03653511567,8341.542647918111,6522.216063511657,11360.144908564022,8158.5757709092695,8519.353047800576,5900.46062181168,2380.098458830095,0.0,806.139603562459,7245.67339386197,12172.18055459978,4683.545738755504,9858.414594350257,4755.995037141369,10432.023922225844,9269.185661316465,8017.881220910449,2085.34954632034,9573.578970994477,11195.353145260759,1120.7411815824003,5708.569092232444,4255.032193423307,8670.232492493116,9321.245072269488,2809.9504874796808,2199.8258019503305,5241.154171285727,7734.861746186841
