country,emission,sink ton/yr
Argentina,4.91E+08,1.79E+08
Australia,7.55E+08,3.12E+08
Brazil,2.71E+09,1.81E+09
Canada,1.13E+09,1.40E+09
Chile,1.54E+08,2.75E+08
China,1.26E+10,8.39E+08
Colombia,1.64E+08,2.42E+08
Congo,4.95E+07,2.42E+07
Finland,4.77E+07,7.68E+07
France,2.39E+08,1.32E+08
Germany,8.31E+08,1.05E+08
India,3.42E+09,1.18E+08
Indonesia,2.03E+09,6.44E+08
Iran,6.30E+08,3.61E+06
Japan,1.20E+09,1.76E+08
Kazakhstan,2.09E+08,2.67E+07
Malaysia,5.48E+08,1.14E+08
Mexico,4.64E+08,2.11E+08
Norway,5.80E+07,5.38E+07
Peru,1.47E+08,1.73E+08
Philippines,2.70E+08,9.74E+07
Portugal,8.33E+07,1.52E+07
Russia,3.20E+09,2.44E+09
Saudi arabia,5.24E+08,1.60E+05
South Africa,4.46E+08,4.04E+07
South korea,7.23E+08,3.78E+07
Turkey,3.68E+08,2.50E+07
Ukraine,2.95E+08,9.97E+07
United Arab Emirates,1.89E+08,1.80E+06
United States,6.84E+09,1.56E+09
