from,lat1,lon1,to,lat2,lon2
Argentina,-38.416097,-63.616672,United States,37.09024,-95.712891
Australia,-25.274398,133.775136,United States,37.09024,-95.712891
Brazil,-14.235004,-51.92528,United States,37.09024,-95.712891
Canada,56.130366,-106.346771,United States,37.09024,-95.712891
Chile,-35.675147,-71.542969,United States,37.09024,-95.712891
Colombia,4.570868,-74.297333,United States,37.09024,-95.712891
Congo,-4.038333,21.758664,United States,37.09024,-95.712891
Finland,61.92411,25.74815,United States,37.09024,-95.712891
Mexico,23.634501,-102.552784,United States,37.09024,-95.712891
Mozambique,-18.665695,35.529562,United States,37.09024,-95.712891
Norway,60.472024,8.468946,United States,37.09024,-95.712891
Peru,-9.189967,-75.015152,United States,37.09024,-95.712891
Portugal,39.399872,-8.224454,United States,37.09024,-95.712891
Russia,61.52401,105.318756,United States,37.09024,-95.712891
