from,lat1,lon1,to,lat2,lon2
Australia,-25.274398,133.775136,Germany,51.165691,10.451526
Brazil,-14.235004,-51.92528,Germany,51.165691,10.451526
Canada,56.130366,-106.346771,Finland,61.92411,25.748151
Canada,56.130366,-106.346771,Germany,51.165691,10.451526
Chile,-35.675147,-71.542969,Germany,51.165691,10.451526
China,35.86166,104.195397,Finland,61.92411,25.748151
China,35.86166,104.195397,Germany,51.165691,10.451526
Congo,-4.038333,21.758664,Germany,51.165691,10.451526
Finland,61.92411,25.748151,Germany,51.165691,10.451526
Germany,51.165691,10.451526,United States,37.09024,-95.712891
Norway,60.472024,8.468946,Germany,51.165691,10.451526
Peru,-9.189967,-75.015152,Germany,51.165691,10.451526
Russia,61.52401,105.318756,Germany,51.165691,10.451526
