country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,64833.1,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,80112.2,0,0,0,0,0,0,0,0.00E+00,0
Canada,0,0,0,0,0,0,5799.8,0,0,0,0,2499.8,0,0,0
Chile,39000,0,0,0,0,0,0,1449.8,0,0,0,0,0,0,0
China,15979.55,0,0,0,0,0,0,0,0,0,0.00E+00,0,2000,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,76942.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0.1,0,0,0,0,0,0,0,0,0,0,0,500000,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,143550,0,0,0,0,0,362500,0,0,0,500000
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,66699.8,0,0,0,0,0
Peru,0,0,10100,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,76798.95,0,0,0,0,34437.2,0,0,0,0,0,0
Saudi arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
