from,lat1,lon1,to,lat2,lon2
Argentina,-38.416097,-63.616672,South korea,35.907757,127.766922
Australia,-25.274398,133.775136,South korea,35.907757,127.766922
Australia,-25.274398,133.775136,United States,37.09024,-95.712891
Brazil,-14.235004,-51.92528,South korea,35.907757,127.766922
Canada,56.130366,-106.346771,South korea,35.907757,127.766922
Chile,-35.675147,-71.542969,South korea,35.907757,127.766922
China,35.86166,104.195397,Chile,-35.675147,-71.542969
China,35.86166,104.195397,South korea,35.907757,127.766922
China,35.86166,104.195397,United States,37.09024,-95.712891
Congo,-4.038333,21.758664,South korea,35.907757,127.766922
Finland,61.92411,25.748151,South korea,35.907757,127.766922
India,20.593684,78.96288,United States,37.09024,-95.712891
Indonesia,-0.789275,113.921327,South korea,35.907757,127.766922
Indonesia,-0.789275,113.921327,United States,37.09024,-95.712891
Japan,36.204824,138.252924,South korea,35.907757,127.766922
Malaysia,4.210484,101.975766,United States,37.09024,-95.712891
Mozambique,-18.665695,35.529562,United States,37.09024,-95.712891
Philippines,12.879721,121.774017,South korea,35.907757,127.766922
Portugal,39.399872,-8.224454,South korea,35.907757,127.766922
Russia,61.52401,105.318756,South korea,35.907757,127.766922
Saudi arabia,23.885942,45.079162,United States,37.09024,-95.712891
South korea,35.907757,127.766922,Chile,-35.675147,-71.542969
South korea,35.907757,127.766922,United States,37.09024,-95.712891
Turkey,38.963745,35.243322,South korea,35.907757,127.766922
United States,37.09024,-95.712891,South korea,35.907757,127.766922
