country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,6079.65,7000,0,0,0,500,0,0,0,0,0,0,0,0,0
Brazil,2200,0,74933.1,67000,0,0,0,0,0,0,0,0,0,0,0
Canada,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,39000,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
China,0,2200,0,0,0,23712.5,0,0,0,0,0,2500,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,40904.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,8700,0,0,0,0,0,0,0,0,0
Indonesia,0,9454,0,0,0,0,0,1450,34437.5,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,47200,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,5400,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi arabia,0,0,0,0,0,0,0,0,0,66700,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South korea,0,0,0,0,143550,0,0,0,0,0,0,0,2000,0,500000
Turkey,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,900,0,0,9799.25,0,0,0,0,0,0,362500,0,0,0,0
