country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,6200,0,0,0,0,0,0.00E+00,0,0,0,0,2258.350342,0,0,0
Australia,0,7000,0,0,0,0,403.0286285,109.153588,4444.110844,8607.541018,0,0,0,26568.82756,0
Brazil,2200,0,0,1375.845013,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0
Canada,500,3100,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0
Chile,19865.32456,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0
China,19000,2200,0,0,25934.89533,72368.83658,403.0286285,109.153588,4444.110844,8607.541018,65492.15993,0,1806.680274,26568.82756,90334.0137
Colombia,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0
Congo,0,36551.51949,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,25934.89533,0,403.0286285,109.153588,0,0,65492.15993,0,0,26568.82756,90334.0137
India,0,0,0,0,0,0,403.0286285,109.153588,0,8607.541018,0,0,0,26568.82756,0
Indonesia,0,9454,0,0,0,0,403.0286285,109.153588,4444.110844,0,0,0,0,26568.82756,0
Iran,0,0,0,0,0,0,403.0286285,109.153588,0,0,0,0,0,26568.82756,0
Japan,0,0,0,0,25934.89533,0,403.0286285,109.153588,0,0,65492.15993,0,0,26568.82756,90334.0137
Kazakhstan,0,0,0,0,0,0,0,0,4444.110844,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,403.0286285,0,0,0,0,0,0,26568.82756,0
Mexico,400,0,0,0,0,0,403.0286285,0,4444.110844,0,0,0,0,26568.82756,0
Norway,0,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0
Peru,0,0,10100,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
Philippines,0,5400,200,0,0,0,0,109.153588,0,0,0,0,0,26568.82756,0
Portugal,600,0,0,0,0,0,0,0,0,0,0,0,0,26568.82756,0
Russia,0,3500,0,0,0,0,403.0286285,109.153588,4444.110844,8607.541018,0,0,0,26568.82756,0
Saudi arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,0
South korea,0,0,1250,0,25934.89533,0,403.0286285,109.153588,0,0,65492.15993,0,0,26568.82756,90334.0137
Turkey,0,2300,0,0,0,0,403.0286285,109.153588,0,0,0,0,0,26568.82756,0
Ukraine,0,0,56140.07682,0,0,0,0,0,0,8607.541018,0,0,0,26568.82756,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,8607.541018,0,0,0,26568.82756,0
United States,900,0,0,14000,25934.89533,0,403.0286285,109.153588,4444.110844,8607.541018,65492.15993,0,0,26568.82756,90334.0137
